"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
111.,"Kensizer 20-Pack Fruit Fly Trap, Yellow Sticky Gnat Traps Killer for Indoor/Outdoor Flying Plant Insect Like Fungus Gnats, Whiteflies, Aphids, Leaf Miners - 6x8 in, Twist Ties Included","B07KRRJT5J","https://www.amazon.com/dp/B07KRRJT5J?psc=1","https://m.media-amazon.com/images/I/71QTcohByvL._AC_SY355_.jpg","Kensizer",8.09,"1,177",878,600,"10,767.27","7,105.22",184,"3,112","US",5.07,1,4.3,"19,098",8,76,"Kensizer Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","8.11 x 0.55 x 6.10 in",0.6,"N/A","Nov 22, 2018",,"No",88,"Kensizer Inc"
"111.1.","Kensizer 10-Pack Fruit Fly Trap, Yellow Sticky Gnat Trap Killer for Indoor/Outdoor Flying Plant Insect Like Fungus Gnat, Whiteflies, Aphids, Leaf Miners - 6x8 in, Twist Ties Included","B07JXS2B1Z","https://www.amazon.com/dp/B07JXS2B1Z?psc=1","https://m.media-amazon.com/images/I/71+cLyD8EdL._AC_SY355_.jpg","Kensizer",6.29,"1,177",132,100,"10,767.27",831.15,182,"3,110","N/A",2.62,1,4.3,"19,098",7,76,"Kensizer Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","8.07 x 0.47 x 6.14 in",0.31,"N/A","Dec 6, 2018",,"No",87,"Kensizer Inc"
"111.2.","Kensizer 50-Pack Fruit Fly Trap, Yellow Sticky Gnat Traps Killer for Indoor/Outdoor Flying Plant Insect Like Fungus Gnats, Whiteflies, Aphids, Leaf Miners - 6x8 in, Twist Ties Included","B0DZ252JRN","https://www.amazon.com/dp/B0DZ252JRN?psc=1","https://m.media-amazon.com/images/I/71d+nIM3CeL._AC_SY355_.jpg","Kensizer",17.99,"1,177",135,100,"10,767.27","2,425.11",184,"3,110","N/A",8.38,1,4.3,"19,098",7,"19,025","Kensizer Inc","Patio, Lawn & Garden","Large Standard-Size","FBA","8.11 x 1.02 x 6.14 in",1.32,"N/A","May 9, 2025",,"No",10,"Kensizer Inc"
