"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
124.,"USKICH Sticky Traps Gnat Killer Fruit Fly Traps Non-Toxic and Odorless Fungus Gnat Traps Insect Traps Black Sticky Trap for Indoor and Outdoor Plants（96Pcs Black）","B097K32RNP","https://www.amazon.com/dp/B097K32RNP?psc=1","https://m.media-amazon.com/images/I/61aF+j-tobL._AC_SY355_.jpg","USKICH",12.99,"2,259",150,100,"13,563.05","1,953.13",162,"1,968","CN",6.38,1,4.4,"12,808",6,26,"US.K M","Patio, Lawn & Garden","Large Standard-Size","FBA","5.47 x 1.73 x 5.39 in",0.66,"N/A","Dec 13, 2021",,"No",51,"US.K M"
"124.1.","USKICH Sticky Trap Fruit Fly and Gnat Trap Sticky Bug Traps Fungus Traps for Indoor/Outdoor Insect Catcher for White Flies, Mosquitoes, Fungus Gnats, Lying Insects (24 Pcs Black)","B097JW17X5","https://www.amazon.com/dp/B097JW17X5?psc=1","https://m.media-amazon.com/images/I/61ppQrUji4L._AC_SY355_.jpg","USKICH",5.19,"2,259","1,331","1,000","13,563.05","6,908.38",178,"1,968","N/A",3.35,1,4.4,"12,808",7,25,"US.K M","Patio, Lawn & Garden","Small Standard-Size","FBA","5.63 x 0.51 x 4.41 in",0.18,"N/A","Jul 7, 2021",,"No",56,"US.K M"
"124.2.","48PCS Fruit Fly Sticky Traps, Fungus Gnat Traps Insect Trap for Plants Kitchen Indoor and Outdoor（48 Lemon Yellow ）","B08ZY65DHZ","https://www.amazon.com/dp/B08ZY65DHZ?psc=1","https://m.media-amazon.com/images/I/71ZUAu1B5gS._AC_SY355_.jpg","USKICH",7.99,"2,259",49,"N/A","13,563.05",390.06,115,"1,968","N/A",4.33,1,4.4,"12,808",5,25,"US.K M","Patio, Lawn & Garden","Large Standard-Size","FBA","5.83 x 0.87 x 5.04 in",0.35,"N/A","May 3, 2021",,"No",58,"US.K M"
"124.3.","USKICH Sticky Traps Gnat Killer Fruit Fly Traps Non-Toxic and Odorless Fungus Gnat Traps Insect Traps Black Sticky Trap for Indoor and Outdoor Plants（48Pcs Black）","B096Q4S255","https://www.amazon.com/dp/B096Q4S255?psc=1","https://m.media-amazon.com/images/I/71H8xvWC5VL._AC_SY355_.jpg","USKICH",7.99,"2,259",125,100,"13,563.05",996.59,162,"1,968","N/A",3.67,1,4.4,"12,808",5,25,"US.K M","Patio, Lawn & Garden","Small Standard-Size","FBA","7.83 x 0.43 x 6.42 in",0.35,"N/A","Jun 14, 2021",,"No",57,"US.K M"
