"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
147.,"TERRO T518 Fly Magnet Indoor Housefly, 8 Count Pack, Sticky Fly Trap Indoor Hanging","B076QL793Y","https://www.amazon.com/dp/B076QL793Y?psc=1","https://m.media-amazon.com/images/I/813KZlThiEL._AC_SY355_.jpg","Terro",5.89,"2,061","1,819","2,000","13,436.29","10,851.11",83,911,"AMZ",4.78,1,4.1,"17,791",9,"17,784","Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","4.09 x 1.85 x 3.62 in",0.15,"N/A","Dec 11, 2017",,"No",99,"Amazon"
"147.1.","TERRO T518 Fly Magnet, 16 Total, 2 Pack, Sticky Fly Trap Indoor Hanging","B07Q6942LQ","https://www.amazon.com/dp/B07Q6942LQ?psc=1","https://m.media-amazon.com/images/I/91K2xi4pRCL._AC_SY355_.jpg","Terro",10,"2,061",162,100,"13,436.29","1,620.5",71,911,"N/A",7.91,1,4.1,"17,791",4,151,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","10.41 x 2.32 x 8.45 in",0.48,"N/A","Apr 9, 2019",,"No",83,"Amazon"
"147.2.","TERRO T518 Fly Trap Indoor Housefly, 4 Pack, Sticky Fly Trap Indoor Hanging","B07DXC4Q8B","https://www.amazon.com/dp/B07DXC4Q8B?psc=1","https://m.media-amazon.com/images/I/91RwPAvoEqL._AC_SY355_.jpg","Terro",11.64,"2,061",80,50,"13,436.29",948.89,75,911,"N/A",6.37,1,4.1,"17,791",5,137,"EstBuy Trading","Patio, Lawn & Garden","Large Standard-Size","FBA","7.83 x 3.74 x 4.25 in",0.86,"N/A","Jun 26, 2018",,"No",93,"EstBuy Trading"
