"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
64.,"Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Gnat Trap | Gnat Traps for House Indoor | Fly Trap Indoor - Disposable Sticky Fly Trap for Indoor House Pest Control (2 Pack)","B08DMY3WWX","https://www.amazon.com/dp/B08DMY3WWX?psc=1","https://m.media-amazon.com/images/I/71DG14XKAtL._AC_SY355_.jpg","Trappify",11.99,901,568,400,"14,724.02","6,808.57",191,"4,267","US",7.09,1,4.2,"5,662",9,33,"Trappify","Patio, Lawn & Garden","Large Standard-Size","FBA","10.71 x 2.09 x 4.13 in",0.31,"N/A","Jul 28, 2020",,"No",68,"Trappify"
"64.1.","Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Gnat Trap | Gnat Traps for House Indoor | Fly Trap Indoor - Disposable Sticky Fly Trap for Indoor House Pest Control (4 Pack)","B087CGT6ST","https://www.amazon.com/dp/B087CGT6ST?psc=1","https://m.media-amazon.com/images/I/7104ZyW8Z9L._AC_SY355_.jpg","Trappify",18.99,901,225,100,"14,724.02","4,278.87",191,"4,267","N/A",8.52,1,4.2,"5,662",9,33,"Trappify","Patio, Lawn & Garden","Large Standard-Size","FBA","10.59 x 2.20 x 8.19 in",0.49,"N/A","May 21, 2020",,"No",70,"Trappify"
"64.2.","Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Gnat Trap | Gnat Traps for House Indoor | Fly Trap Indoor - Disposable Sticky Fly Trap for Indoor House Pest Control (8 Pack)","B087CH7JK8","https://www.amazon.com/dp/B087CH7JK8?psc=1","https://m.media-amazon.com/images/I/71iPJolo0lL._AC_SY355_.jpg","Trappify",33.99,901,107,50,"14,724.02","3,628.25",191,"4,264","N/A",11.71,1,4.2,"5,662",8,33,"Trappify","Patio, Lawn & Garden","Large Standard-Size","FBA","16.02 x 2.13 x 10.71 in",0.98,"N/A","Jun 30, 2020",,"No",69,"Trappify"
