"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
67.,"VEYOFLY Fly Trap Indoor, Fruit Fly Traps for Indoors Flying Insect (2 Device + 6 Refills) Gnat Traps for House Indoor, Bug Zapper Indoor, Gnat Killer Catcher & Fruit Fly Killer Light Plug in","B0BDT4XZR4","https://www.amazon.com/dp/B0BDT4XZR4?psc=1","https://m.media-amazon.com/images/I/81xDZIWTPHL._AC_SY355_.jpg","VEYOFLY",29.97,"3,735",788,"1,000","90,162.59","23,613.16",190,505,"US",8.93,1,4.1,"9,385",9,"9,374","VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","5.55 x 2.91 x 4.37 in",0.6,"N/A","Sep 10, 2022",,"No",42,"VEYOFLY"
"67.1.","VEYOFLY Fly Trap Indoor, Fruit Fly Traps for Indoors, (1 Device + 3 Refills) Gnat Traps for House Indoor, Fly Catcher Indoor, Plug in Light Flying Insect Trap, Bug Light Killer, Fly Trap","B0C2FCKJRM","https://www.amazon.com/dp/B0C2FCKJRM?psc=1","https://m.media-amazon.com/images/I/81ohkJheEzL._AC_SY355_.jpg","VEYOFLY",16.97,"3,871",351,200,"93,477.05","5,950.92",186,505,"N/A",7.7,1,4.1,"9,385",8,110,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","4.69 x 3.27 x 3.62 in",0.35,"N/A","Apr 14, 2023",,"No",35,"VEYOFLY"
"67.2.","VEYOFLY Fly Trap Indoor, Fruit Fly Traps for Indoor, (1 Device + 3 Refills) Gnat Traps for House, Fly Catcher, Plug in Light Flying Insect Trap, Bug Light Killer, Fly Trap","B0C5V15N2Z","https://www.amazon.com/dp/B0C5V15N2Z?psc=1","https://m.media-amazon.com/images/I/81lY8lULmZL._AC_SY355_.jpg","VEYOFLY",15.97,"3,871",223,"N/A","93,477.05","3,555.38",171,505,"N/A",6.56,1,4.1,"9,385",9,100,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","4.80 x 3.23 x 3.66 in",0.35,"N/A","May 29, 2023",,"No",34,"VEYOFLY"
"67.3.","VEYOFLY Fly Trap Indoor, Fruit Fly Traps for Indoors, (2 Device + 6 Refills) Gnat Traps for House Indoor, Fly Catcher Indoor, Plug in Light Flying Insect Trap, Bug Light Killer, Fly Trap","B0C5V1BX4Q","https://www.amazon.com/dp/B0C5V1BX4Q?psc=1","https://m.media-amazon.com/images/I/71uKGIJq-QL._AC_SY355_.jpg","VEYOFLY",25.97,"3,871",155,50,"93,477.05","4,022.66",186,505,"N/A",8.1,1,4.1,"9,385",9,110,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","5.71 x 2.72 x 3.54 in",0.53,"N/A","Jun 28, 2023",,"No",33,"VEYOFLY"
"67.4.","VEYOFLY Fly Trap Indoor, Fruit Fly Traps for Indoors, (4 Device + 12 Refills) Gnat Traps for House Indoor, Fly Catcher Indoor, Plug in Light Flying Insect Trap, Bug Light Killer, Fly Trap","B0C3LHD9SD","https://www.amazon.com/dp/B0C3LHD9SD?psc=1","https://m.media-amazon.com/images/I/81XMMAylHkL._AC_SY355_.jpg","VEYOFLY",49.97,"3,871",148,100,"93,477.05","7,416.91",187,505,"N/A",13.78,1,4.1,"9,385",9,100,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","6.34 x 4.41 x 5.63 in",1.17,"N/A","Apr 26, 2023",,"No",35,"VEYOFLY"
"67.5.","VEYOFLY Fly Trap Indoor, Fruit Fly Traps for Indoors, (4 Device + 12 Refills) Gnat Traps for House Indoor, Fly Catcher Indoor, Plug in Light Flying Insect Trap, Bug Light Killer, Fly Trap","B0C5V2JH77","https://www.amazon.com/dp/B0C5V2JH77?psc=1","https://m.media-amazon.com/images/I/81QYGg3yd1L._AC_SY355_.jpg","VEYOFLY",39.97,"3,871",74,50,"93,477.05","2,972.71",187,505,"N/A",11.29,1,4.1,"9,385",9,100,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","5.55 x 4.41 x 4.80 in",1.04,"N/A","May 29, 2023",,"No",34,"VEYOFLY"
"67.6.","VEYOFLY Fly Trap Indoor Refill, Fruit Fly Traps for Indoors, Gnat Traps for House, Fly Catcher, Fly Trap, Plug in Catch for Fruit Flies, Moths, Gnats, Mosquito Trap (Pack of 5 Refills)","B0BDST8YVQ","https://www.amazon.com/dp/B0BDST8YVQ?psc=1","https://m.media-amazon.com/images/I/81J64HZv2tL._AC_SY355_.jpg","VEYOFLY",14.97,"3,871",831,500,"93,477.05","12,436.08",184,505,"N/A",6.3,1,4.1,"9,385",7,129,"VEYOFLY","Patio, Lawn & Garden","Small Standard-Size","FBA","6.06 x 0.47 x 3.74 in",0.11,"N/A","Oct 6, 2022",,"No",41,"VEYOFLY"
"67.7.","VEYOFLY Fly Trap Indoor Refill, Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, Fly Catcher, Fly Trap, Plug in Catch for Fruit Flies, Moths, Gnats, Mosquito Trap (Pack of 5 Refills-Black)","B0C5V24J81","https://www.amazon.com/dp/B0C5V24J81?psc=1","https://m.media-amazon.com/images/I/81J0sTuWjUL._AC_SY355_.jpg","VEYOFLY",15.97,"3,871",188,"N/A","93,477.05","3,002.84",197,505,"N/A",6.64,1,4.1,"9,385",6,100,"VEYOFLY","Patio, Lawn & Garden","Small Standard-Size","FBA","6.02 x 0.55 x 3.78 in",0.11,"N/A","Aug 10, 2023",,"No",31,"VEYOFLY"
"67.8.","VEYOFLY Fly Trap Indoor Refill, Fruit Fly Traps for Indoors, Gnat Traps for House, Fly Catcher, Fly Trap, Plug in Catch for Fruit Flies, Moths, Gnats, Mosquito Trap (Pack of 10 Refills)","B0BHKH97P2","https://www.amazon.com/dp/B0BHKH97P2?psc=1","https://m.media-amazon.com/images/I/712OGDkepiL._AC_SY355_.jpg","VEYOFLY",25.97,"3,871",921,800,"93,477.05","23,902.28",185,505,"N/A",7.82,1,4.1,"9,385",8,100,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","6.10 x 0.87 x 3.70 in",0.2,"N/A","Nov 10, 2022",,"No",40,"VEYOFLY"
"67.9.","VEYOFLY Fly Trap Indoor Refill, Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, Fly Catcher, Fly Trap, Plug in Catch for Fruit Flies, Moths, Gnats, Mosquito Trap (Pack of 15 Refills)","B0BHN2YLRR","https://www.amazon.com/dp/B0BHN2YLRR?psc=1","https://m.media-amazon.com/images/I/71bXUVvgdQL._AC_SY355_.jpg","VEYOFLY",34.97,"3,871",162,100,"93,477.05","5,676.26",192,505,"N/A",9.41,1,4.1,"9,385",5,100,"VEYOFLY","Patio, Lawn & Garden","Large Standard-Size","FBA","6.06 x 1.26 x 3.82 in",0.29,"N/A","Nov 9, 2022",,"No",40,"VEYOFLY"
