"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
126.,"Black Flag Fly Stick, Trap Houseflies and Flying Insects, Pack of 6","B00IMHL9JO","https://www.amazon.com/dp/B00IMHL9JO?psc=1","https://m.media-amazon.com/images/I/71qgmhUgEBL._AC_SY355_.jpg","Black Flag",20.57,"1,988",574,600,"18,911.75","11,786.16",67,"1,330","AMZ",10.31,1,4.2,"25,697",8,26,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","17.60 x 3.15 x 10.94 in",1.37,"N/A","May 15, 2014",,"No",142,"Amazon"
"126.1.","Black Flag Fly Paper, Insect Trap, Catches All Flying Insects 4 Traps","B00AA8X18U","https://www.amazon.com/dp/B00AA8X18U?psc=1","https://m.media-amazon.com/images/I/813jLHa6yJL._AC_SY355_.jpg","Black Flag",1.97,"1,923",932,900,"18,327.13","1,989.9",69,"1,330","N/A",3.21,1,4.2,"25,697",6,"25,540","Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","4.96 x 1.34 x 1.85 in",0.09,"N/A","Feb 1, 2015",,"No",133,"Amazon"
"126.2.","Black Flag Fly Stick Insect Trap, 1 ct","B00AA8X158","https://www.amazon.com/dp/B00AA8X158?psc=1","https://m.media-amazon.com/images/I/81x1sYxbusL._AC_SY355_.jpg","Black Flag",5.2,"1,988",120,"N/A","18,911.75",644.16,38,"1,330","N/A",4.16,4,4.2,"25,697",9,33,,"Patio, Lawn & Garden","Large Standard-Size","FBA","10.61 x 2.80 x 2.83 in",0.13,"N/A","Oct 25, 2013",,"No",149,
"126.3.","Black Flag, Fly Window Trap, 4-count, Clear","B00AA8WZNM","https://www.amazon.com/dp/B00AA8WZNM?psc=1","https://m.media-amazon.com/images/I/71KBqqc8bsL._AC_SY355_.jpg","Black Flag",6.99,"1,988",80,"N/A","18,911.75",568.07,43,"1,330","N/A",3.13,4,4.2,"25,697",7,33,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","5.98 x 1.81 x 5.83 in",0.26,"N/A","Oct 9, 2017",,"No",101,"Amazon"
"126.4.","Black Flag Window Fly Trap, Transparent Glue Traps 4 Count","B00AA8WZQ4","https://www.amazon.com/dp/B00AA8WZQ4?psc=1","https://m.media-amazon.com/images/I/81CUXM8P5AL._AC_SY355_.jpg","Black Flag",5.83,"1,988",104,"N/A","18,911.75",603.01,58,"1,330","N/A",4.29,1,4.2,"25,697",6,27,"Amazon","Patio, Lawn & Garden","Small Standard-Size","AMZ","8.94 x 0.55 x 3.39 in",0.07,"N/A","Feb 1, 2015",,"No",133,"Amazon"
"126.5.","Black Flag Window Fly Trap(2Pack)","B00UW1WBAE","https://www.amazon.com/dp/B00UW1WBAE?psc=1","https://m.media-amazon.com/images/I/71tVUAw8SaL._AC_SY355_.jpg","Black Flag",19.95,"1,988",52,"N/A","18,911.75",825.68,33,"1,330","N/A",7.71,1,4.2,"25,697",5,24,,"Patio, Lawn & Garden","Large Standard-Size","MFN","0.80 x 8.70 x 4.40 in",0.15,"N/A","Jun 9, 2015",,"No",129,
"126.6.","Black Flag Fly Paper, Insect Trap, Catches All Flying Insects 4 Traps (Pack of 12)","B0154JGJHY","https://www.amazon.com/dp/B0154JGJHY?psc=1","https://m.media-amazon.com/images/I/81RQaFrENEL._AC_SY355_.jpg","Black Flag","N/A","1,988",14,"N/A","18,911.75",405.24,82,"1,330","N/A","N/A",1,4.2,"25,697",6,"25,688",,"Patio, Lawn & Garden","Large Standard-Size","FBA","6.42 x 4.06 x 4.53 in",1.39,"N/A","May 16, 2025",,"No",10,
"126.7.","Black Flag Fly Paper 4 Traps, Catches All Flying Insects, 24 Pack","B00IMHL9MQ","https://www.amazon.com/dp/B00IMHL9MQ?psc=1","https://m.media-amazon.com/images/I/813jLHa6yJL._AC_SY355_.jpg","Black Flag",19.74,"1,988",54,"N/A","18,911.75",997.76,65,"1,330","N/A",9.63,1,4.2,"25,697",5,21,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","8.23 x 4.88 x 6.97 in",2.92,"N/A","Jun 17, 2014",,"No",141,"Amazon"
"126.8.","Black Flag Fly Window Traps, 4 Count (Pack of 12)","B00TRVMH2M","https://www.amazon.com/dp/B00TRVMH2M?psc=1","https://m.media-amazon.com/images/I/91LTkM83YPL._AC_SY355_.jpg","Black Flag",40.68,"1,988",25,"N/A","18,911.75","1,016.18",49,"1,330","N/A",14.45,1,4.2,"25,697",5,33,"Amazon","Patio, Lawn & Garden","Large Standard-Size","AMZ","12.20 x 6.18 x 11.57 in",3.02,"N/A","Nov 3, 2015",,"No",124,"Amazon"
