"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
132.,"Super Ninja Gnat Traps for House Indoor - Fungus Gnat & Fruit Fly Traps - 10 Sticky Traps for Plants & 2 Highly Effective Fruit Fly Catchers for Indoors, Kid & Pet Friendly","B0DX8J2VV6","https://www.amazon.com/dp/B0DX8J2VV6?psc=1","https://m.media-amazon.com/images/I/91fz0l6ZR4L._AC_SY355_.jpg","Super Ninja",12.99,"2,809",77,50,"20,750.32",999.8,172,"1,006","US",6.11,1,4.4,"1,072",7,79,"Impact USA","Patio, Lawn & Garden","Large Standard-Size","FBA","7.20 x 1.34 x 5.20 in",0.24,"N/A","Apr 16, 2025",,"No",11,"Impact USA"
"132.1.","Super Ninja Fungus Gnat Traps - 30 Pack, Highly Effective Gnat Traps for House Indoor, Yellow Sticky Trap for Plants, Non-Toxic & Nature-Friendly, Up to 3 Months","B0D7MFCFX1","https://www.amazon.com/dp/B0D7MFCFX1?psc=1","https://m.media-amazon.com/images/I/91WeaNgxpIL._AC_SY355_.jpg","Super Ninja",6.99,"2,809","2,406","2,000","20,750.32","16,792.94",161,"1,006","N/A",4.2,1,4.4,"1,072",7,80,"Impact USA","Patio, Lawn & Garden","Large Standard-Size","FBA","5.04 x 0.94 x 2.80 in",0.15,"N/A","Jul 15, 2024",,"No",20,"Impact USA"
"132.2.","Super Ninja Fungus Gnat Traps - 60 Pack, Highly Effective Gnat Traps for House Indoor, Yellow Sticky Trap for Plants, Non-Toxic & Nature-Friendly, Up to 3 Months","B0D7MDHWT9","https://www.amazon.com/dp/B0D7MDHWT9?psc=1","https://m.media-amazon.com/images/I/916GYPs+m4L._AC_SY355_.jpg","Super Ninja",8.99,"2,809",326,200,"20,750.32","2,929.11",161,"1,006","N/A",4.74,1,4.4,"1,072",8,80,"Impact USA","Patio, Lawn & Garden","Large Standard-Size","FBA","5.08 x 0.94 x 4.37 in",0.33,"N/A","Jun 20, 2024",,"No",21,"Impact USA"
