"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
115.,"Garsum Fruit Fly Sticky Trap for Indoor and Outdoor, 36 Pack Fungus Gnat Killer for Houseplant, Mosquitos, Flying Insect, White Flies","B07ZSC4CK1","https://www.amazon.com/dp/B07ZSC4CK1?psc=1","https://m.media-amazon.com/images/I/71JBRKVfbTL._AC_SY355_.jpg","Garsum",7.98,"4,635","2,281","2,000","39,836.07","18,203.95",133,704,"US",3.76,1,4.4,"54,671",9,76,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","7.64 x 0.63 x 5.47 in",0.32,"N/A","Oct 31, 2019",,"No",77,"Dycoe Inc"
"115.1.","Garsum Fruit Fly Trap Yellow Sticky 18 pcs Fungus Gnat Killer for Indoor and Outdoor Plant Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","B08FDQGBF2","https://www.amazon.com/dp/B08FDQGBF2?psc=1","https://m.media-amazon.com/images/I/6148l0TP7ZL._AC_SY355_.jpg","Garsum",7.19,"4,635",118,50,"39,836.07",929.37,162,704,"N/A",4.55,1,4.4,"54,671",7,58,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","5.91 x 0.63 x 4.72 in",0.15,"N/A","Aug 7, 2020",,"No",67,"Dycoe Inc"
"115.2.","Garsum Fruit Fly Trap Yellow Sticky Fungus Gnat Killer for Indoor and Outdoor Plant","B08FDMXXX2","https://www.amazon.com/dp/B08FDMXXX2?psc=1","https://m.media-amazon.com/images/I/61QLLf8SCRL._AC_SY355_.jpg","Garsum",7.19,"4,635",179,"N/A","39,836.07","1,414.73",83,704,"N/A",3.57,1,4.4,"54,671",5,77,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","5.87 x 0.59 x 4.76 in",0.15,"N/A","Aug 7, 2020",,"No",67,"Dycoe Inc"
"115.3.","Garsum Fruit Fly Trap Yellow Sticky Traps, 18 pcs Fungus Gnat Killer for Indoor and Outdoor Plant Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects,","B08FDN4QLC","https://www.amazon.com/dp/B08FDN4QLC?psc=1","https://m.media-amazon.com/images/I/61TOi-yt6AL._AC_SY355_.jpg","Garsum",7.19,"4,635",178,"N/A","39,836.07","1,375.98",170,704,"N/A",4.55,1,4.4,"54,671",10,75,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","5.83 x 0.59 x 4.72 in",0.18,"N/A","Aug 7, 2020",,"No",67,"Dycoe Inc"
"115.4.","Garsum Fruit Fly Trap Yellow Sticky Fungus Gnat Killer for Indoor and Outdoor Plant","B08FDN7M98","https://www.amazon.com/dp/B08FDN7M98?psc=1","https://m.media-amazon.com/images/I/61LDh5L20DL._AC_SY355_.jpg","Garsum",19.98,"4,635",41,"N/A","39,836.07",825.9,83,704,"N/A",6.34,1,4.4,"54,671",2,65,,"Patio, Lawn & Garden","Small Standard-Size","FBA","6.10 x 0.55 x 4.76 in",0.15,"N/A","Sep 20, 2020",,"No",66,
"115.5.","Garsum Fruit Fly Trap 18 Pcs Yellow Sticky Fungus Gnat Killer for Indoor and Outdoor Plant Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","B08FDPBQKN","https://www.amazon.com/dp/B08FDPBQKN?psc=1","https://m.media-amazon.com/images/I/61arBW6bA7L._AC_SY355_.jpg","Garsum",7.19,"4,635",141,"N/A","39,836.07","1,056.74",162,704,"N/A",4.55,1,4.4,"54,671",7,75,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","5.91 x 0.51 x 4.72 in",0.13,"N/A","Sep 5, 2020",,"No",66,"Dycoe Inc"
"115.6.","Garsum 20 Pack Gnat Sticky Traps for Indoor and Outdoor, Fruit Fly Paper Sheets Yellow Insect Killer for Flying, Whitefly, Aphids, Leafminers- 6x8 in, Twist Ties Included","B07G61TSX4","https://www.amazon.com/dp/B07G61TSX4?psc=1","https://m.media-amazon.com/images/I/71qKzNqaHKL._AC_SY355_.jpg","Garsum",8.99,"4,635",68,"N/A","39,836.07",669.73,170,704,"N/A",3.76,1,4.4,"54,671",7,65,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","8.43 x 0.55 x 6.18 in",0.62,"N/A","Aug 17, 2018",,"No",91,"Dycoe Inc"
"115.7.","Garsum 21 Traps Sticky Houseplant Traps Gnat Yellow Insect Trap Indoor Fruit Fly Stakes Trap","B085GCX9H6","https://www.amazon.com/dp/B085GCX9H6?psc=1","https://m.media-amazon.com/images/I/81WrxLX8TOL._AC_SY355_.jpg","Garsum",8.09,"4,635",683,300,"39,836.07","6,085.53",92,704,"N/A",3.64,1,4.4,"54,671",8,65,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","6.02 x 0.51 x 3.98 in",0.11,"N/A","Mar 4, 2020",,"No",72,"Dycoe Inc"
"115.8.","Garsum 36 Pack Fungus Gnat Traps Sticky Fruit Fly Trap Killer for Kitchen Indoor and Outdoor, Insect Fly Traps for House Plants, Whitefly, Mosquito Bits, Flying Insects","B095RHV6QP","https://www.amazon.com/dp/B095RHV6QP?psc=1","https://m.media-amazon.com/images/I/61n-wdu5+EL._AC_SY355_.jpg","Garsum",7.19,"4,635",184,"N/A","39,836.07","1,452.64",168,704,"N/A",3.64,1,4.4,"54,671",8,60,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","7.48 x 0.51 x 5.47 in",0.31,"N/A","Jul 2, 2021",,"No",56,"Dycoe Inc"
"115.9.","Garsum 36 Pack Fruit Fly Trap Yellow Sticky Fungus Gnat Killer for Indoor and Outdoor Plant Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","B095RN2H2R","https://www.amazon.com/dp/B095RN2H2R?psc=1","https://m.media-amazon.com/images/I/61dAarCMfrL._AC_SY355_.jpg","Garsum",7.19,"4,635",206,50,"39,836.07","1,624.86",163,704,"N/A",3.64,1,4.4,"54,671",8,60,"Dycoe Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","7.44 x 0.55 x 5.51 in",0.33,"N/A","Jun 11, 2021",,"No",57,"Dycoe Inc"
