"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
97.,"Fruit Fly Trap for Indoors with 10 Refills, 2 in 1 Fly Trap Indoor with Night Light for Home, Gnat Traps for House Indoor, Plug-in Insect Trap for Gnats, Flies, Moths, and Other Bugs-Black","B0F53THPR3","https://www.amazon.com/dp/B0F53THPR3?psc=1","https://m.media-amazon.com/images/I/81yAueHZ7kL._AC_SY355_.jpg","BUGAWAY",15.99,46,21,"N/A",832.33,329.42,188,"57,100","US",6.35,1,4.1,222,8,2,"DW Global LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","6.34 x 2.80 x 3.23 in",0.46,"N/A","Jun 6, 2025",,"No",9,"DW Global LLC"
"97.1.","Fruit Fly Trap for Indoors-2PCS, 2 in 1 Fly Trap Indoor with Night Light for Home with 20 Refills, Gnat Traps for House Indoor, Plug-in Insect Trap for Gnats, Flies, Moths-Black","B0FFSD61PH","https://www.amazon.com/dp/B0FFSD61PH?psc=1","https://m.media-amazon.com/images/I/81HKCePIlsL._AC_SY355_.jpg","BUGAWAY",25.99,46,5,"N/A",832.33,118.22,177,"57,095","N/A",9.49,1,4.1,222,8,2,"DW Global LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","7.36 x 3.43 x 3.78 in",0.84,"N/A","Aug 20, 2025",,"No",7,"DW Global LLC"
"97.2.","Fruit Fly Trap for Indoors-2PCS, 2 in 1 Fly Trap Indoor with Night Light for Home with 20 Refills, Gnat Traps for House Indoor, Plug-in Insect Trap for Gnats, Flies, Moths-White","B0FFS7RY49","https://www.amazon.com/dp/B0FFS7RY49?psc=1","https://m.media-amazon.com/images/I/71d-Wl1aEPL._AC_SY355_.jpg","BUGAWAY",25.99,46,5,"N/A",832.33,135.45,177,"57,095","N/A",8.5,1,4.1,222,8,9,"DW Global LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","7.40 x 3.31 x 3.78 in",0.86,"N/A","Sep 7, 2025",,"No",6,"DW Global LLC"
"97.3.","Fruit Fly Trap for Indoors with 10 Refills, 2 in 1 Fly Trap Indoor with Night Light for Home, Gnat Traps for House Indoor, Plug-in Insect Trap for Gnats, Flies, Moths, and Other Bugs-White","B0F53T367F","https://www.amazon.com/dp/B0F53T367F?psc=1","https://m.media-amazon.com/images/I/71Z0O0gPsLL._AC_SY355_.jpg","BUGAWAY",15.99,46,16,"N/A",832.33,248.31,188,"57,095","N/A",6.35,1,4.1,222,8,2,"DW Global LLC","Patio, Lawn & Garden","Large Standard-Size","FBA","6.34 x 2.83 x 3.11 in",0.46,"N/A","Jun 6, 2025",,"No",9,"DW Global LLC"
