"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
145.,"40 Pack Fungus Gnat Traps for House Indoor Yellow Sticky Traps for Gnats Sticky Traps for Plants, Dual-Sided Fungus Gnat Sticky Traps Fruit Fly Traps for Indoors","B08B5VSV97","https://www.amazon.com/dp/B08B5VSV97?psc=1","https://m.media-amazon.com/images/I/71MBUsqtKLL._AC_SY355_.jpg","Dwcom Trap",7.99,"5,188","4,116","4,000","45,123.79","32,507.64",161,615,"US",3.76,1,4.5,"10,961",8,63,"Ayor Trade Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","7.06 x 0.67 x 5.94 in",0.35,"N/A","Jun 23, 2020",,"No",69,"Ayor Trade Inc"
"145.1.","40 Pack Fungus Gnat Traps for House Indoor, Fungus Traps Fruit Fly Traps for Indoors Gnats Sticky Traps for Plants Yellow Sticky Traps for Gnats","B08B5W3F9M","https://www.amazon.com/dp/B08B5W3F9M?psc=1","https://m.media-amazon.com/images/I/71ls+1wB7uL._AC_SY355_.jpg","Dwcom Trap",8.99,"5,188",571,100,"45,123.79","5,126.23",144,615,"N/A",4.01,1,4.5,"10,961",8,63,"Ayor Trade Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","7.05 x 0.67 x 5.98 in",0.37,"N/A","Jun 23, 2020",,"No",69,"Ayor Trade Inc"
"145.2.","30 Pack Yellow Sticky Traps Fruit Fly Trap, Double-Sided Fungus Gnat Trap Insects Pest Killer for Outdoor Indoor","B08G4N16LR","https://www.amazon.com/dp/B08G4N16LR?psc=1","https://m.media-amazon.com/images/I/716d7dT-xuL._AC_SY355_.jpg","Dwcom Trap",12.49,"5,188",287,"N/A","45,123.79","3,582.57",112,615,"N/A",5.61,1,4.5,"10,961",8,53,"Ayor Trade Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","7.95 x 0.55 x 6.14 in",0.71,"N/A","Sep 8, 2020",,"No",66,"Ayor Trade Inc"
"145.3.","60 Pack Yellow Sticky Traps for Gnats Fruit Fly Traps for Indoors, Fungus Gnat Traps for House Indoor Fly Paper Indoor for Gnats Killer Indoor Trap","B0GFSB79NB","https://www.amazon.com/dp/B0GFSB79NB?psc=1","https://m.media-amazon.com/images/I/61bx75EJ4AL._AC_SY355_.jpg","Dwcom Trap",17.99,"5,188",0,"N/A","45,123.79",0,147,615,"N/A",6.02,1,4.5,"10,961",6,0,"Ayor Trade Inc","Patio, Lawn & Garden","Small Standard-Size","FBA","0.10 x 0.10 x 0.10 in",0.1,"N/A","N/A",,"No","N/A","Ayor Trade Inc"
"145.4.","120 Pack Fungus Gnat Traps for House Indoor, Fungus Traps Fruit Fly Traps for Indoors Gnats Sticky Traps for Plants Yellow Sticky Traps for Gnats","B08B5VJY5G","https://www.amazon.com/dp/B08B5VJY5G?psc=1","https://m.media-amazon.com/images/I/81WSQ+cFLaL._AC_SY355_.jpg","Dwcom Trap",17.99,"5,188",214,50,"45,123.79","3,854.97",145,615,"N/A",7.54,1,4.5,"10,961",8,63,"Ayor Trade Inc","Patio, Lawn & Garden","Large Standard-Size","FBA","8.54 x 1.06 x 6.77 in",0.95,"N/A","Jun 23, 2020",,"No",69,"Ayor Trade Inc"
